,School,STATE,City
0,LSU,Louisiana,Baton Rouge
1,Ohio St.,Ohio,Columbus
2,Clemson ,South Carolina,Clemson
3,Oklahoma ,Oklahoma  ,Norman
4,Georgia ,Georgia  ,Athens
5,Florida ,Florida  ,Gainsville
6,Oregon ,Oregon  ,Eugene
7,Alabama ,Alabama  ,Tuscaloosa
8,Baylor ,Texas,Waco
9,Utah ,Utah,Salt Lake City
10,Wisconsin ,Wisconsin,Madison
11,Penn St. ,Pennsylvania,Centre County
12,Auburn,Alabama  ,Auburn 
13,Notre Dame ,Indiana,Notre Dame
14,Minnesota ,Minnesota  ,Minneapolis
15,Memphis ,Tennesse,Memphis  
16,Michigan,Michigan,Ann Arbor
17,Boise St. ,Idaho,Boise
18,Iowa ,Iowa,Iowa City
19,App. St. ,North Carolina,Boone
20,Cincinnati ,Ohio,Cincinnati  
21,Navy ,Maryland ,Annapolis
22,Oklahoma St.,Oklahoma  ,Stillwater
23,Kansas St.,Kansas ,Manhattan
24,USC,California,Los Angeles
25,Virginia,Virginia,Charlottesville
26,Air Force ,Colorado,Colorado Springs
27,SMU ,Texas,Dallas
28,UCF ,Florida  ,Orlando
29,FAU ,Florida  ,Boca Raton
30,Indiana,Indiana,Bloomington
31,Texas A&M,Texas,College Station
32,Washington,Washington,Seattle
33,Virginia Tech,Virginia,Blacksburg
34,Iowa St.,Iowa,Ames
35,Louisiana ,Louisiana,Lafayette
36,Texas,Texas,Austin
37,Wake Forest,North Carolina,Winston-Salem
38,San Diego St. ,California,San Diego
39,Temple,Pennsylvania,Philadelphia
40,Tennessee,Tennesse,Knoxville
41,Arizona St.,Arizona,Tempe
42,Kentucky,Kentucky ,Lexington
43,Louisville,Kentucky ,Louisville
44,Louisiana Tech ,Louisiana,Ruston
45,Marshall,West Virginia,Huntington
46,W. Kentucky,Kentucky ,Bowling Green
47,California,California,Oakland
48,Pittsburgh,Pennsylvania,Pittsburgh
49,Hawaii ,Hawaii,Honolulu
50,BYU,Utah,Provo
51,North Carolina,North Carolina,Chapel Hill
52,Utah St.,Utah,Logan
53,Tulane,Louisiana,New Orleans
54,Wyoming,Wyoming,Laramie
55,Florida St.,Florida  ,Tallahassee
56,Illinois,Illinois,Champaign
57,UAB,Alabama  ,Birmingham
58,C. Michigan,Michigan,Mount Pleasant
59,Ga. Southern,Georgia  ,Statesboro
60,Washington St.,Washington,Pullman
61,Oregon St.,Oregon  ,Corvallis
62,Miss. State,Mississippi,Starkville
63,Michigan St.,Michigan,East Lansing
64,TCU,Texas,Fort Worth
65,Boston College,Massachusetts ,Chestnut Hill
66,Miami (Ohio),Ohio,Miami
67,Miami (Fla.),Florida  ,Miami
68,Georgia St.,Georgia  ,Atlanta
69,So. Miss,Mississippi,Hattiesburg
70,Missouri,Missouri ,Columbia
71,Charlotte,North Carolina,Charlotte
72,Buffalo,New York,Buffalo
73,Colorado,Colorado,Boulder
74,W. Michigan,Michigan,Kalamzoo
75,Arkansas St.,Arkansas ,Jonesboro
76,Duke,North Carolina,Durham
77,Nebraska,Nebraska ,Lincoln
78,Nevada,Nevada ,Reno
79,Syracuse,New York,Syracuse
80,West Virginia,West Virginia ,Morgantown
81,Ole Miss,Mississippi,Oxford
82,Purdue,Indiana,West Lafayette
83,South Carolina,South Carolina ,Columbia
84,Tulsa,Oklahoma  ,Tulsa
85,Liberty,Virginia,Lynchburg
86,Texas Tech,Texas,Lubbock
87,Ohio,Ohio,Athens
88,Toledo,Ohio,Toledo
89,UCLA,California,Los Angeles
90,Houston,Texas,Houston 
91,Kent St.,Ohio,Kent
92,Army,Kansas ,Leavenworth
93,Troy,Alabama  ,Troy
94,UL-Monroe,Louisiana,Monroe
95,E. Michigan,Michigan,Ypsilanti
96,Stanford,California,Stanford
97,Arizona,Arizona,Tuscon
98,Ball St.,Indiana,Muncie
99,FIU,Florida  ,Miami
100,Coastal Carolina,South Carolina,Conway
101,Colorado St.,Colorado,Fort Collins
102,NC State,North Carolina,Raleigh
103,San Jose St.,California,San Jose
104,South Florida,Florida  ,Tampa
105,N. Illinois,Illinois,Dekalb
106,Fresno St.,California,Fresno
107,UNLV,Nevada,Las Vegas
108,Kansas,Kansas ,Lawrence
109,Maryland,Maryland ,College Park
110,Northwestern,Illinois,Evanston
111,Middle Tenn.,Tennesse,Murfreesboro
112,Vanderbilt,Tennesse,Nashville
113,Georgia Tech,Georgia  ,Atlanta
114,North Texas,Texas,Denton
115,Rice,Texas,Houston 
116,East Carolina,North Carolina,Greenville
117,Arkansas,Arkansas ,Fayetteville
118,UT-San Antonio ,Texas,San Antonio
119,Rutgers,New Jersey,New Brunswick
120,Bowling Green,Ohio,Bowling Green
121,Texas St.,Texas,San Marcos
122,South Alabama,Alabama  ,Mobile
123,New Mexico,New Mexico ,Albuquerque
124,Connecticut,Connecticut ,Mansfield
125,New Mexico St.,New Mexico,Las Cruces
126,Old Dominion,Virginia,Norfolk
127,UTEP,Texas,El Paso
128,Massachusetts,Massachusetts ,Shrewsbury
129,Akron,Ohio,Arkon
